overall_qmat,ground_sq,second_sq,possible_cars_in_garage,year_built,first_sq,total_rooms,bas_bath_count,overall_cond,overall_sq,fireplaces,sale_price,house_age,total_living_area,area_per_room
0.7,0.6035087719298246,0.5301055245189323,2,2003,0.30017251293847036,8,1,0.5,0.4379042690815007,0,208500,0.04838709677419355,0.6035087719298246,0.44263456090651543
0.6,0.40701754385964917,0.0,2,1976,0.5336400230017252,6,0,0.8,0.5122897800776197,1,181500,0.2661290322580645,0.40701754385964917,0.42650299024236704
0.7,0.6368421052631579,0.5375543140906269,2,2001,0.3369752731454859,6,1,0.5,0.6190168175937905,1,223500,0.06451612903225806,0.6368421052631579,0.8388416745357254
0.7,0.6065789473684211,0.4692737430167598,3,1915,0.36055204140310526,7,1,0.5,0.5090556274256145,1,140000,0.7580645161290323,0.6065789473684211,0.5915283960609738
0.8,0.8175438596491228,0.6536312849162011,3,2000,0.4663599769982749,9,1,0.5,0.813712807244502,1,250000,0.07258064516129031,0.8175438596491228,0.5865071870737593
0.5,0.4508771929824561,0.35133457479826197,2,1993,0.26566992524439337,5,1,0.5,0.804333764553687,0,143000,0.12903225806451613,0.4508771929824561,0.7195467422096316
0.8,0.5964912280701754,0.0,2,2004,0.78205865439908,7,1,0.5,0.5435963777490298,1,307000,0.04032258064516129,0.5964912280701754,0.5760151085930123
0.7,0.7701754385964912,0.6101800124146493,2,1973,0.4445083381253594,7,1,0.6,0.5628719275549806,2,200000,0.2903225806451613,0.7701754385964912,0.8431134493457437
0.7,0.631578947368421,0.46679081315952825,2,1931,0.3956296722254169,8,0,0.5,0.2871927554980595,2,129900,0.6290322580645161,0.631578947368421,0.48040604343720483
0.5,0.32587719298245615,0.0,1,1939,0.4272570442783209,5,1,0.6,0.37128072445019406,2,118000,0.564516129032258,0.32587719298245615,0.4504249291784703
0.5,0.30964912280701756,0.0,1,1965,0.40598044853364,5,1,0.5,0.6157826649417852,0,129500,0.3548387096774194,0.30964912280701756,0.41548630783758256
0.5,0.2535087719298246,0.0,1,1962,0.332374928119609,4,1,0.6,0.7301423027166882,0,144000,0.3790322580645161,0.2535087719298246,0.5099150141643058
